,mean,std,sem
,Calibration Error,Calibration Error,Calibration Error
Method,,,
Dropout,0.11127796038702574,0.0033256569187865483,0.0019200689172937564
Ensemble,0.04597690389989837,0.027488032241405565,0.015870222814068614
Evidential,0.03391421599762873,0.026881553057863605,0.015520071894192763
GroundTruth,0.0,,
