,mean,std,sem
,Calibration Error,Calibration Error,Calibration Error
Method,,,
Dropout,0.11116389047679538,0.003182835588456966,0.0018376109837819519
Ensemble,0.04597690389989837,0.027488032241405565,0.015870222814068614
Evidential,0.03391421599762873,0.026881553057863605,0.015520071894192763
GroundTruth,0.0,,
